status, type, msg, date
success, ios, , 2016-02-12 16:39:47
success, ios, , 2016-02-15 18:07:42
success, ios, , 2016-02-16 14:47:42
success, ios, , 2016-02-17 10:12:56
success, ios, , 2016-02-17 11:55:39
success, ios, , 2016-02-17 12:14:47
success, ios, , 2016-02-17 14:52:16
success, ios, , 2016-02-17 17:47:42
success, ios, , 2016-02-18 09:58:25
success, ios, , 2016-02-18 11:05:02
success, ios, , 2016-02-18 14:17:37
success, ios, , 2016-02-19 00:17:30
success, ios, , 2016-02-23 02:13:12
success, ios, , 2016-02-23 12:18:30
success, ios, , 2016-02-23 17:51:24
success, ios, , 2016-02-24 18:07:22
success, ios, , 2016-02-24 18:21:05
success, ios, , 2016-02-25 17:55:32
success, ios, , 2016-02-26 16:50:19
success, ios, , 2016-02-29 11:57:10
success, ios, , 2016-02-29 12:13:16
success, ios, , 2016-03-01 11:27:18
success, ios, , 2016-03-01 12:12:53
success, ios, , 2016-03-01 15:56:21
success, ios, , 2016-03-01 16:48:48
success, ios, , 2016-03-01 17:12:08
success, ios, , 2016-03-02 15:50:48
success, ios, , 2016-03-02 16:55:03
success, ios, , 2016-03-04 14:42:22
success, ios, , 2016-03-07 17:58:47
success, ios, , 2016-03-08 14:15:48
success, ios, , 2016-03-08 18:15:44
success, ios, , 2016-03-09 10:14:31
success, ios, , 2016-03-09 11:47:58
success, ios, , 2016-03-09 15:02:59
success, ios, , 2016-03-11 10:02:21
success, ios, , 2016-03-11 12:20:18
success, ios, , 2016-03-11 14:14:45
success, ios, , 2016-03-11 14:36:12
success, ios, , 2016-03-11 14:59:03
success, ios, , 2016-03-11 15:22:41
success, ios, , 2016-03-11 15:50:20
success, ios, , 2016-03-11 15:58:28
success, ios, , 2016-03-11 16:12:57
success, ios, , 2016-03-11 16:18:19
success, ios, , 2016-03-11 16:43:32
success, ios, , 2016-03-11 17:05:06
success, ios, , 2016-03-11 17:29:31
error, ios, No input file Please try again., 2016-03-13 14:56:01
error, ios, No input file Please try again., 2016-03-13 15:08:06
error, ios, No input file Please try again., 2016-03-13 16:57:05
success, ios, , 2016-03-13 16:57:17
success, ios, , 2016-03-13 18:55:02
error, ios, No input file Please try again., 2016-03-13 18:58:39
success, ios, , 2016-03-13 18:58:41
success, ios, , 2016-03-13 18:58:41
success, ios, , 2016-03-13 19:03:14
success, ios, , 2016-03-13 20:05:00
success, ios, , 2016-03-13 20:36:02
success, ios, , 2016-03-13 21:19:23
success, ios, , 2016-03-13 21:42:26
success, ios, , 2016-03-13 22:15:36
success, ios, , 2016-03-14 10:02:10
success, ios, , 2016-03-14 10:12:16
success, ios, , 2016-03-14 11:11:44
success, ios, , 2016-03-14 11:37:32
success, ios, , 2016-03-14 15:21:56
success, ios, , 2016-03-14 15:40:00
success, ios, , 2016-03-14 16:00:37
success, ios, , 2016-03-14 16:13:26
success, ios, , 2016-03-14 17:52:03
success, ios, , 2016-03-15 14:56:55
success, ios, , 2016-03-15 15:36:43
success, ios, , 2016-03-15 16:52:13
success, ios, , 2016-03-15 18:12:04
success, ios, , 2016-03-16 10:11:52
success, ios, , 2016-03-16 10:14:20
success, ios, , 2016-03-16 18:13:59
success, ios, , 2016-03-17 18:09:30
success, ios, , 2016-03-17 18:34:04
success, ios, , 2016-03-18 05:51:51
success, ios, , 2016-03-18 10:45:01
success, ios, , 2016-03-18 14:55:15
success, ios, , 2016-03-18 16:59:44
success, ios, , 2016-03-18 17:11:36
success, ios, , 2016-03-18 17:36:08
success, ios, , 2016-03-18 17:44:34
success, ios, , 2016-03-21 16:17:47
success, ios, , 2016-03-21 17:48:32
success, ios, , 2016-03-21 18:03:23
success, ios, , 2016-03-21 20:53:02
success, ios, , 2016-03-21 21:17:36
success, ios, , 2016-03-21 21:39:55
success, ios, , 2016-03-21 22:03:46
success, ios, , 2016-03-21 22:45:17
success, ios, , 2016-03-21 22:50:35
success, ios, , 2016-03-21 22:59:12
success, ios, , 2016-03-21 23:10:17
success, ios, , 2016-03-22 12:23:12
success, ios, , 2016-03-22 12:23:38
success, ios, , 2016-03-22 14:34:37
success, ios, , 2016-03-22 15:01:02
success, ios, , 2016-03-22 15:48:56
success, ios, , 2016-03-22 16:08:55
success, ios, , 2016-03-22 17:28:03
success, ios, , 2016-03-22 17:49:16
success, ios, , 2016-03-22 18:31:54
success, ios, , 2016-03-22 18:45:18
success, ios, , 2016-03-22 18:58:42
success, ios, , 2016-03-22 19:04:07
success, ios, , 2016-03-22 19:15:31
success, ios, , 2016-03-22 19:22:55
success, ios, , 2016-03-22 19:38:50
success, ios, , 2016-03-22 22:20:26
success, ios, , 2016-03-23 00:26:24
success, ios, , 2016-03-23 00:54:35
success, ios, , 2016-03-23 08:30:36
success, ios, , 2016-03-23 08:44:33
success, ios, , 2016-03-23 08:50:17
success, ios, , 2016-03-23 08:59:55
success, ios, , 2016-03-23 09:48:23
success, ios, , 2016-03-23 09:59:25
success, ios, , 2016-03-23 10:06:51
success, ios, , 2016-03-23 12:09:19
success, ios, , 2016-03-23 13:46:07
success, ios, , 2016-03-23 17:19:43
success, ios, , 2016-03-23 23:59:04
success, ios, , 2016-03-24 14:37:58
success, ios, , 2016-03-24 15:04:37
success, ios, , 2016-03-26 13:29:24
success, ios, , 2016-04-01 13:44:09
success, ios, , 2016-04-01 16:47:01
success, ios, , 2016-04-01 17:05:36
success, ios, , 2016-04-11 11:34:08
success, ios, , 2016-04-20 17:25:28
success, ios, , 2016-04-20 17:37:18
success, ios, , 2016-04-22 18:22:11
success, ios, , 2016-04-28 01:33:01
success, ios, , 2016-04-28 12:48:22
success, ios, , 2016-04-29 16:58:40
success, ios, , 2016-05-04 12:12:58
success, ios, , 2016-05-04 12:30:08
success, ios, , 2016-05-04 23:12:45
success, ios, , 2016-05-04 23:32:14
success, ios, , 2016-05-09 11:18:29
success, ios, , 2016-05-09 15:50:52
success, ios, , 2016-05-09 17:58:37
success, ios, , 2016-05-10 17:31:15
success, ios, , 2016-05-10 17:32:10
success, ios, , 2016-05-11 10:44:34
success, ios, , 2016-05-11 13:50:53
success, ios, , 2016-05-11 13:55:17
success, ios, , 2016-05-11 17:06:00
success, ios, , 2016-05-12 12:44:49
success, ios, , 2016-05-13 11:20:44
success, ios, , 2016-05-16 18:09:47
success, ios, , 2016-05-17 10:25:05
success, ios, , 2016-05-17 15:29:31
success, ios, , 2016-05-17 16:41:54
success, ios, , 2016-05-17 16:50:19
success, ios, , 2016-05-17 16:50:37
success, ios, , 2016-05-17 16:52:37
success, ios, , 2016-05-17 16:52:59
success, ios, , 2016-05-17 16:53:17
success, ios, , 2016-05-17 16:53:38
success, ios, , 2016-05-17 16:54:04
success, ios, , 2016-05-17 16:54:19
success, ios, , 2016-05-17 16:54:43
success, ios, , 2016-05-17 16:54:58
success, ios, , 2016-05-17 16:55:29
success, ios, , 2016-05-17 16:56:27
success, ios, , 2016-05-17 16:56:48
success, ios, , 2016-05-17 16:57:26
success, ios, , 2016-05-17 17:03:21
success, ios, , 2016-05-18 03:30:14
success, ios, , 2016-05-20 13:14:45
success, ios, , 2016-05-20 13:34:19
success, ios, , 2016-05-20 20:33:31
success, ios, , 2016-05-24 08:27:44
success, ios, , 2016-05-24 10:36:52
success, ios, , 2016-05-24 10:49:56
success, ios, , 2016-05-26 07:37:20
success, ios, , 2016-05-26 07:37:47
success, ios, , 2016-05-26 12:25:43
success, ios, , 2016-05-26 13:19:32
success, ios, , 2016-05-27 10:38:33
success, ios, , 2016-05-27 14:04:53
success, ios, , 2016-05-28 02:46:36
success, ios, , 2016-05-28 02:59:01
success, ios, , 2016-05-28 09:18:30
success, ios, , 2016-05-30 14:37:51
success, ios, , 2016-05-30 15:56:05
success, ios, , 2016-05-31 11:28:34
success, ios, , 2016-06-06 14:16:28
success, ios, , 2016-06-07 12:35:05
success, ios, , 2016-06-07 12:47:33
success, ios, , 2016-06-07 17:50:56
success, ios, , 2016-06-08 18:02:04
success, ios, , 2016-06-09 12:18:18
success, ios, , 2016-06-09 12:18:32
success, ios, , 2016-06-09 17:42:56
success, ios, , 2016-06-13 13:46:17
success, ios, , 2016-06-13 14:08:55
success, ios, , 2016-06-13 15:12:04
success, ios, , 2016-06-13 15:19:53
success, ios, , 2016-06-13 16:34:59
success, ios, , 2016-06-13 18:17:40
success, ios, , 2016-06-14 00:24:40
success, ios, , 2016-06-14 13:55:55
success, ios, , 2016-06-14 14:41:26
success, ios, , 2016-06-14 16:04:52
success, ios, , 2016-06-14 16:58:41
success, ios, , 2016-06-15 09:51:50
success, ios, , 2016-06-15 10:54:43
success, ios, , 2016-06-15 17:55:18
success, ios, , 2016-06-15 17:55:38
success, ios, , 2016-06-15 19:02:28
success, ios, , 2016-06-15 20:51:25
success, ios, , 2016-06-16 15:03:59
success, ios, , 2016-06-16 17:36:26
success, ios, , 2016-06-16 17:36:49
success, ios, , 2016-06-16 17:38:32
success, ios, , 2016-06-16 17:39:04
success, ios, , 2016-06-16 17:39:57
success, ios, , 2016-06-16 17:40:30
success, ios, , 2016-06-16 17:41:10
success, ios, , 2016-06-16 20:25:22
success, ios, , 2016-06-17 14:43:14
success, ios, , 2016-06-18 13:03:33
success, ios, , 2016-06-18 13:23:08
success, ios, , 2016-06-18 13:28:26
success, ios, , 2016-06-18 13:40:12
success, ios, , 2016-06-20 22:41:07
success, ios, , 2016-06-21 11:06:17
success, ios, , 2016-07-18 21:34:21
success, ios, , 2016-07-31 14:38:23
success, ios, , 2016-08-01 16:17:07
success, ios, , 2016-08-01 16:37:35
success, ios, , 2016-08-01 16:47:47
success, ios, , 2016-08-01 16:56:00
success, ios, , 2016-08-02 09:43:58
success, ios, , 2016-09-22 10:41:02
success, ios, , 2016-09-22 11:49:38
success, ios, , 2016-09-22 12:00:36
success, ios, , 2016-09-22 12:15:52
success, ios, , 2016-09-22 14:25:44
success, ios, , 2016-09-22 16:35:30
success, ios, , 2016-09-22 17:31:57
success, ios, , 2016-09-22 18:15:41
success, ios, , 2016-09-22 18:35:08
success, ios, , 2016-09-23 10:43:39
error, ios, No input file Please try again., 2016-09-23 12:37:29
success, ios, , 2016-09-23 12:37:51
success, ios, , 2016-09-23 14:03:29
success, ios, , 2016-09-26 11:54:23
success, ios, , 2016-09-26 17:25:01
success, ios, , 2016-09-27 10:07:41
success, ios, , 2016-09-27 14:12:14
